
name, type, city, state, category, year 
Sehnert's Bakery & Bieroc Cafe,America's Classics,McCook, Nebraska,Restaurant & Chef, 2019
Johnny Clark/ Parachute,Best Chef: Great Lakes,Chicago, Illinois,Restaurant & Chef,2019
Mashama Bailey/ The Grey,Best Chef: Southeast,Savannah, Georgia,Restaurant & Chef,2019
Rita Sodi/ Via Carota,Best Chef: New York City,New York, New York,Restaurant & Chef,2019
Kelly Fields/ Willa Jean,Outstanding Pastry Chef,New Orleans, Louisiana,Restaurant & Chef,2019
Bar Agricole,Outstanding Bar Program,San Francisco, California,Restaurant & Chef,2019
Beverly Kim/ Parachute,Best Chef: Great Lakes,Chicago, Illinois,Restaurant & Chef,2019
Rob Katz/ Boka Restaurant Group,Outstanding Restaurateur,Chicago, Illinois,Restaurant & Chef,2019
Michael Cimarusti/ Providence,Best Chef: West,Los Angeles, California,Restaurant & Chef,2019
A&A Bake & Double Roti Shop,America's Classics,Brookyln, New York,Restaurant & Chef,2019
Parts and Labor Design/ Pacific Standard Time,Outstanding Restaurant Design (76 Seats and Over),Chicago, Illinois,Restaurant & Chef,2019
Kwame Onwuachi/ Kith and Kin,Rising Star Chef of the Year,Washington, District of Columbia,Restaurant & Chef,2019
Kevin Boehm/ Boka Restaurant Group,Outstanding Restaurateur,Chicago, Illinois,Restaurant & Chef,2019
Frasca Food and Wine,Outstanding Service,Boulder, Colorado,Restaurant & Chef,2019
Ann Kim/ Young Joni,Best Chef: Midwest,Minneapolis, Minnesota,Restaurant & Chef,2019
Nina Compton/ Compère Lapin,Best Chef: South,New Orleans, Louisiana,Restaurant & Chef,2018
Daniel Johnnes,Who's Who of Food & Beverage in America,New York, New York,,2018
Rodney Scott/ Rodney Scott’s BBQ,Best Chef: Southeast,Charleston, South Carolina,Restaurant & Chef,2018
Gabrielle Hamilton/ Prune,Outstanding Chef,New York, New York,Restaurant & Chef,2018
Abraham Conlon/ Fat Rice,Best Chef: Great Lakes,Chicago, Illinois,Restaurant & Chef,2018
Karen Akunowicz/ Myers + Chang,Best Chef: Northeast,Boston, Massachusetts,Restaurant & Chef,2018
Dong Phuong Bakery,America's Classics,New Orleans, Louisiana,Restaurant & Chef,2018
Debbie Gold,Design Icon,Kansas City, Missouri,Restaurant & Chef,2018
Sun Wah,America's Classics,Chicago, Illinois,Restaurant & Chef,2018
Jeremiah Langhorne/ The Dabney,Best Chef: Mid-Atlantic,Washington, District of Columbia,Restaurant & Chef,2018
Allison Hooper,Who's Who of Food & Beverage in America,Websterville, Vermont,,2018
Camille Cogswell/ Zahav,Rising Star Chef of the Year,Philadelphia, Pennsylvania,Restaurant & Chef,2018
FIG,Outstanding Wine Program,Charleston, South Carolina,Restaurant & Chef,2018
Galleria Umberto,America's Classics,Boston, Massachusetts,Restaurant & Chef,2018
Ti Adelaide Martin,Who's Who of Food & Beverage in America,New Orleans, Louisiana,,2018
Cure,Outstanding Bar Program,New Orleans, Louisiana,Restaurant & Chef,2018
Zuni Café,Outstanding Service,San Francisco, California,Restaurant & Chef,2018
Alex Seidel/ Mercantile Dining & Provision, Best Chef: Southwest,  Denver, Colorado, Restaurant & Chef,2018
Gavin Kaysen/ Spoon and Stable,Best Chef: Midwest,Minneapolis, Minnesota,Restaurant & Chef,2018
Paula Wolfert,Lifetime Achievement,Sonoma, California,,2018
Miljenko Grgich/ Grgich Hills Estate,Outstanding Wine Spirits or Beer Professional,Rutherford, California,Restaurant & Chef,2018
JuneBaby,Best New Restaurant,Seattle, Washington,Restaurant & Chef,2018
Missy Robbins/ Lilia,Best Chef: New York City,Brooklyn, New York,Restaurant & Chef,2018
Los Hernandez/ Union Gap,America's Classics, ,Washington,Restaurant & Chef,2018
Jody Adams,Who's Who of Food & Beverage in America,Boston, Massachusetts,,2018
Belinda Leong/ B. Patisserie,Outstanding Baker,San Francisco, California,Restaurant & Chef,2018
The MP Shift/ De Maria,Outstanding Restaurant Design (75 Seats and Under),New York, New York,Restaurant & Chef,2018
Aidlin Darling Design/ In Situ,Outstanding Restaurant Design (76 Seats and Over),San Francisco, California,Restaurant & Chef,2018
Dominique Crenn/ Atelier Crenn,Best Chef: West,San Francisco, California,Restaurant & Chef,2018
Michel Suas/ B. Patisserie,Outstanding Baker,San Francisco, California,Restaurant & Chef,2018
The MP Shift/ De Maria,Outstanding Restaurant Design (75 Seats and Under),New York, New York,Restaurant & Chef,2018
a l m project/ In Situ,Outstanding Restaurant Design (76 Seats and Over),San Francisco, California,Restaurant & Chef,2018
Dolester Miles/ Highlands Bar & Grill,Outstanding Pastry Chef,Birmingham, Alabama,Restaurant & Chef,2018
Edouardo Jordan/ Salare,Best Chef: Northwest,Seattle, Washington,Restaurant & Chef,2018
Lally Brennan,Who's Who of Food & Beverage in America,New Orleans, Louisiana,,2018
José Andrés,Humanitarian of the Year,,,,2018
El Guero Canelo,America's Classics,Tuscon, Arizona,Restaurant & Chef,2018
Highlands Bar & Grill,Outstanding Restaurant,Birmingham, Alabama,Restaurant & Chef,2018
Caroline Styne/ The Lucques Group,Outstanding Restaurateur,Los Angeles, California,Restaurant & Chef,2018
Aidlin Darling Design/ In Situ,Outstanding Restaurant Design (76 Seats and Over),San Francisco, California,Restaurant & Chef,2018
Arnaud’s French 75 Bar,Outstanding Bar Program,New Orleans, Louisiana,Restaurant & Chef,2017
AvroKO/ SingleThread,Outstanding Restaurant Design (75 Seats and Under),Healdsburg, California,Restaurant & Chef,2017
Canlis,Outstanding Wine Program,Seattle, Washington,Restaurant & Chef,2017
Michael Solomonov/ Zahav,Outstanding Chef,Philadelphia, Pennsylvania,Restaurant & Chef,2017
Blue Hill at Stone Barns,Outstanding Service,Pocantico Hills, New York,Restaurant & Chef,2017
Sarah Grueneberg/ Monteverde,Best Chef: Great Lakes,Chicago, Illinois,Restaurant & Chef,2017
Zachary Engel/ Shaya,Rising Star Chef of the Year,New Orleans, Louisiana,Restaurant & Chef,2017
Sahadi's,America's Classics,Brooklyn, New York,Restaurant & Chef,2017
The Oyster Bar at Grand Central Terminal,Design Icon,New York, New York,Restaurant & Chef,2017

